"ID","SSN","Phase","PhaseAbbr","Period","archInterp_1","funcInterp_1","archInterp_2","funcInterp_2","xxx","Occu_1","Occu_2","Occu"
14358,3590,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14359,3590,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14360,3590,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14361,3591,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14362,3591,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14363,3591,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14364,3591,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14365,3592,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14366,3592,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14367,3592,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14368,3592,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14369,3593,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14370,3593,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14371,3593,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14372,3593,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14373,3594,"Patlachique-Tzacualli","PMic","EC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
14374,3594,"Miccaotli-Tlamimilolpa","McTl","MC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
14375,3594,"Xolalpan-Metepec","XlMe","LC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
14376,3594,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14377,3595,"Patlachique-Tzacualli","PMic","EC","room group",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14378,3595,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14379,3595,"Xolalpan-Metepec","XlMe","LC","apartment compound","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14380,3595,"Oxtoticpac","Oxto","ET","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14381,3596,"Patlachique-Tzacualli","PMic","EC","room group",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14382,3596,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14383,3596,"Xolalpan-Metepec","XlMe","LC","apartment compound","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14384,3596,"Oxtoticpac","Oxto","ET","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14385,3597,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14386,3597,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14387,3597,"Xolalpan-Metepec","XlMe","LC","apartment compound","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14388,3597,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14389,3598,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14390,3598,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14391,3598,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14392,3598,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14393,3599,"Patlachique-Tzacualli","PMic","EC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
14394,3599,"Miccaotli-Tlamimilolpa","McTl","MC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
14395,3599,"Xolalpan-Metepec","XlMe","LC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
14396,3599,"Oxtoticpac","Oxto","ET",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
14397,3600,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14398,3600,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14399,3600,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14400,3600,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14401,3601,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14402,3601,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14403,3601,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14404,3601,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14405,3602,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14406,3602,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14407,3602,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14408,3602,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14409,3603,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14410,3603,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14411,3603,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14412,3603,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"probably not occupied or utilized in this period","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14413,3604,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14414,3604,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14415,3604,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14416,3604,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14417,3605,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14418,3605,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14419,3605,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14420,3605,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14421,3606,"Patlachique-Tzacualli","PMic","EC","other","other","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14422,3606,"Miccaotli-Tlamimilolpa","McTl","MC","other","other","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14423,3606,"Xolalpan-Metepec","XlMe","LC","other","other","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14424,3606,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14425,3607,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14426,3607,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14427,3607,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14428,3607,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14429,3608,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14430,3608,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14431,3608,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","casa humilde","low status residential, no obvious occupational specialization",FALSE,0,2,"1. Likely either less intensive or archaeologically ephemeral occupation"
14432,3608,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14433,3609,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14434,3609,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14435,3609,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14436,3609,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14437,3610,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14438,3610,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14439,3610,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14440,3610,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14441,3611,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14442,3611,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14443,3611,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14444,3611,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14445,3612,"Patlachique-Tzacualli","PMic","EC","simple platform","platform of probable religious significance","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14446,3612,"Miccaotli-Tlamimilolpa","McTl","MC","temple base (incl. platforms & multi-tiered platforms)","temple platform","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14447,3612,"Xolalpan-Metepec","XlMe","LC","temple base (incl. platforms & multi-tiered platforms)","temple platform","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14448,3612,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14449,3613,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14450,3613,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14451,3613,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14452,3613,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
14453,3614,"Patlachique-Tzacualli","PMic","EC","simple platform","temple platform","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14454,3614,"Miccaotli-Tlamimilolpa","McTl","MC","temple base (incl. platforms & multi-tiered platforms)","temple platform","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14455,3614,"Xolalpan-Metepec","XlMe","LC","temple base (incl. platforms & multi-tiered platforms)","temple platform","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14456,3614,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14457,3615,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14458,3615,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14459,3615,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14460,3615,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14461,3616,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","other",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14462,3616,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","other",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14463,3616,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","other",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14464,3616,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14465,3617,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14466,3617,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14467,3617,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14468,3617,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14469,3618,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14470,3618,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14471,3618,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14472,3618,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14473,3619,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14474,3619,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14475,3619,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14476,3619,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
14477,3620,"Patlachique-Tzacualli","PMic","EC","plaza","plaza","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14478,3620,"Miccaotli-Tlamimilolpa","McTl","MC","plaza","plaza","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
14479,3620,"Xolalpan-Metepec","XlMe","LC","plaza","plaza","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
