"SSN","Occu_EC","Occu_MC","Occu_LC","Occu_ET"
3740,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3741,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3742,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3743,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation",NA
3744,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3745,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3746,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3747,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3748,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3749,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3750,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3751,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3752,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3753,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3754,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3755,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3756,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3757,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3758,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3759,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3760,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3761,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3762,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3763,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3764,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3765,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3766,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3767,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3768,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3769,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3770,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3771,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3772,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3773,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3774,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3775,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3776,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3777,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3778,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3779,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3780,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3781,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3782,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3783,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3784,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3785,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3786,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3787,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3788,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3789,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3790,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3791,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3792,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3793,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3794,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3795,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3796,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3797,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3798,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3799,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3800,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3801,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3802,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3803,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
3804,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3805,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3806,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3807,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation"
3808,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3809,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3810,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3811,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3812,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3813,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3814,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
3815,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3816,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3817,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3818,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3819,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3820,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3821,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3822,"0. No evidence for occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation"
3823,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3824,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
3825,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3826,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3827,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3828,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3829,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3830,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3831,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3832,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3833,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3834,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3835,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
3836,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3837,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3838,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3839,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3840,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3841,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3842,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3843,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3844,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3845,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3846,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3847,"1. Likely either less intensive or archaeologically ephemeral occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3848,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
3849,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3850,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","2. Evidence for permanent occupation of some form","0. No evidence for occupation"
3851,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3852,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3853,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3854,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3855,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3856,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3857,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3858,"0. No evidence for occupation","2. Evidence for permanent occupation of some form","2. Evidence for permanent occupation of some form","2. Evidence for permanent occupation of some form"
3859,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation",NA
3860,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3861,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3862,"0. No evidence for occupation","2. Evidence for permanent occupation of some form","2. Evidence for permanent occupation of some form","0. No evidence for occupation"
3863,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3864,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3865,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","2. Evidence for permanent occupation of some form"
3866,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3867,"0. No evidence for occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation"
3868,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3869,"0. No evidence for occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation"
3870,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3871,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3872,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3873,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3874,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
3875,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3876,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3877,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3878,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
3879,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3880,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3881,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3882,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3883,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3884,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3885,"1. Likely either less intensive or archaeologically ephemeral occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3886,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3887,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3888,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation"
3889,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3890,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3891,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3892,"0. No evidence for occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3893,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3894,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3895,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3896,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3897,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3898,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3899,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3900,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3901,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
